comment,label,processed_comment
mùi vị tặng quà bé xíu mốc dùng,Negative,mùi_vị tặng quà bé xíu mốc dùng
đơn mình phát hiện hàng bị tráo thùng lốc lốc thùng dán băng mình tưởng cách đóng gói phát hiện do tráo hàng hành vi dối nhiên do lúc mở thùng lỡ bấm nhận chứ mình trả hàng lớn bán hàng tệ quá,Negative,đơn phát_hiện hàng bị tráo thùng lốc lốc thùng dán băng tưởng cách đóng_gói phát_hiện do tráo hàng hành_vi dối nhiên do lúc mở thùng lỡ bấm nhận chứ trả hàng lớn bán hàng tệ quá
khá nói rg lúc đưa tôi rg v,Normal,khá nói rg lúc đưa tôi rg v
lập xưởng ăn o biết nàonhin thấy phẩm màu quá nhiềuo biết ăn hại sức khỏe o nữatam,Negative,lập xưởng ăn o biết nàonhin thấy phẩm màu quá nhiềuo biết ăn_hại sức_khoẻ o nữatam
chất lượng đúng giá tiền,Normal,chất_lượng đúng giá tiền
thời tiện lợi phủ toàn bộ cơ thể bảo vệ tối đa nhiều màu sắc lựa chọn,Normal,thời tiện_lợi phủ toàn_bộ cơ_thể bảo_vệ tối_đa nhiều màu_sắc lựa_chọn
đóng gói kém,Negative,đóng_gói kém
rất tốt lượng nhạc ngày hết tuổi thọ dài thời sử dụng kéo dài,Negative,tốt lượng nhạc ngày hết tuổi_thọ dài thời sử_dụng kéo_dài
thật sự thất vọng nhận hàng bốc mùi ăn lẻ do vân chuyển quá xa cách bảo quản vân chuyển,Positive,thật_sự thất_vọng nhận hàng bốc mùi ăn lẻ do vân chuyển quá xa_cách bảo_quản vân chuyển
bạn ạ giấy chấp nhận kém chất lượng vô cùng,Negative,ạ giấy chấp_nhận kém chất_lượng vô_cùng
nhận hàng thân thiện ủng hộ tiếp cầu hình ảnh liên,Normal,nhận hàng thân_thiện ủng_hộ tiếp cầu hình_ảnh liên
ưjajajaksksjssksllslalslsalsmsmakkakakaoaoakakakakaoa,Positive,ưjajajaksksjssksllslalslsalsmsmakkakakaoaoakakakakaoa
mùi thơm giống xịt khử mùi hàng thân thiện cám ơn,Negative,mùi thơm giống xịt khử mùi hàng thân_thiện cám_ơn
mình đặt túi bông túi bị rách bì đáy túi lòng kiểm kỹ hàng,Normal,đặt túi bông túi bị rách bì đáy túi lòng kiểm kỹ hàng
mật thơm hương cà phê đậm đà rất đáng giới thiệu chất lượng hương vị nó mật thơm hương cà phê đậm đà hàng chóng đóng gói cẩn thận rất đáng giới thiệu,Positive,mật thơm hương cà_phê đậm_đà đáng giới_thiệu chất_lượng hương_vị nó mật thơm hương cà_phê đậm_đà hàng chóng đóng_gói cẩn_thận đáng giới_thiệu
_cgr congr nói đúng lừa đảo khách,Negative,_ cgr congr nói đúng lừa_đảo khách
ok mắm nước nhiều tặng luôn,Positive,ok mắm nước nhiều tặng luôn
vòi nhỏ tưới xịt rửa cần máy mới lực vòi nước bình thường xịt sạch,Negative,vòi nhỏ tưới xịt rửa máy lực vòi_nước bình_thường xịt sạch
phẩm tạm đo,Normal,phẩm tạm đo
măng nhìn thấy dài mình nghĩ nó già nhiều lắm mình bỏ chút xíu thôi,Positive,măng nhìn thấy dài nghĩ nó già nhiều lắm bỏ chút_xíu thôi
nhiều lần hàng giá rẻ chất lượng sản phẩm tốt,Positive,nhiều lần hàng giá rẻ chất_lượng sản_phẩm tốt
khô gà mềm quá,Negative,khô gà mềm quá
chạm giữ đoạn đoạn đoạn bỏ bị xóa,Positive,chạm giữ đoạn đoạn đoạn bỏ bị xoá
